game_pk,at_bat_number,pitch_number,pitch_type,pitch_type_map,is_fastball,balls,strikes,outs_when_up,inning,home_score,away_score,bat_score,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,prev_pitch_1,prev_pitch_2,prev_pitch_3,batter_is_right,pitcher_is_right,inning_top
744821,31,3,CH,5,0,1,1,2,4,0,4,0,2,1,5.0,4.0,5.0,0,1,0
744821,31,4,CH,5,0,2,1,2,4,0,4,0,2,1,5.0,5.0,4.0,0,1,0
744821,31,5,ST,4,0,3,1,2,4,0,4,0,2,1,5.0,5.0,5.0,0,1,0
744821,31,6,SI,1,0,3,2,2,4,0,4,0,2,1,4.0,5.0,5.0,0,1,0
744821,32,1,CH,5,0,0,0,2,4,0,4,0,2,1,1.0,4.0,5.0,0,1,0
744821,32,2,CH,5,0,0,1,2,4,0,4,0,2,1,5.0,1.0,4.0,0,1,0
744821,32,3,CH,5,0,1,1,2,4,0,4,0,2,1,5.0,5.0,1.0,0,1,0
744821,32,4,CH,5,0,2,1,2,4,0,4,0,2,1,5.0,5.0,5.0,0,1,0
744821,32,5,CH,5,0,2,2,2,4,0,4,0,2,1,5.0,5.0,5.0,0,1,0
744821,37,1,SI,1,0,0,0,0,5,0,4,0,2,1,5.0,5.0,5.0,1,1,0
744821,37,2,ST,4,0,1,0,0,5,0,4,0,2,1,1.0,5.0,5.0,1,1,0
744821,37,3,SI,1,0,1,1,0,5,0,4,0,2,1,4.0,1.0,5.0,1,1,0
744821,38,1,SI,1,0,0,0,1,5,0,4,0,2,1,1.0,4.0,1.0,0,1,0
744821,38,2,SI,1,0,0,1,1,5,0,4,0,2,1,1.0,1.0,4.0,0,1,0
744821,39,1,SI,1,0,0,0,2,5,0,4,0,2,1,1.0,1.0,1.0,1,1,0
744821,39,2,SI,1,0,0,1,2,5,0,4,0,2,1,1.0,1.0,1.0,1,1,0
744821,39,3,SI,1,0,1,1,2,5,0,4,0,2,1,1.0,1.0,1.0,1,1,0
744821,39,4,CH,5,0,2,1,2,5,0,4,0,2,1,1.0,1.0,1.0,1,1,0
744821,39,5,ST,4,0,2,2,2,5,0,4,0,2,1,5.0,1.0,1.0,1,1,0
744821,40,1,SI,1,0,0,0,2,5,0,4,0,3,2,4.0,5.0,1.0,0,1,0
744821,40,2,ST,4,0,1,0,2,5,0,4,0,3,2,1.0,4.0,5.0,0,1,0
744821,40,3,CH,5,0,2,0,2,5,0,4,0,3,2,4.0,1.0,4.0,0,1,0
744821,45,1,SI,1,0,0,0,0,6,0,4,0,3,2,5.0,4.0,1.0,1,1,0
744821,46,1,SI,1,0,0,0,1,6,0,4,0,3,2,1.0,5.0,4.0,0,1,0
744821,46,2,CH,5,0,1,0,1,6,0,4,0,3,2,1.0,1.0,5.0,0,1,0
744821,47,1,SI,1,0,0,0,2,6,0,4,0,3,2,5.0,1.0,1.0,0,1,0
744821,47,2,SI,1,0,0,1,2,6,0,4,0,3,2,1.0,5.0,1.0,0,1,0
744821,47,3,CH,5,0,1,1,2,6,0,4,0,3,2,1.0,1.0,5.0,0,1,0
744821,47,4,CH,5,0,2,1,2,6,0,4,0,3,2,5.0,1.0,1.0,0,1,0
744821,47,5,ST,4,0,2,2,2,6,0,4,0,3,2,5.0,5.0,1.0,0,1,0
744821,47,6,ST,4,0,3,2,2,6,0,4,0,3,2,4.0,5.0,5.0,0,1,0
744821,47,7,SI,1,0,3,2,2,6,0,4,0,3,2,4.0,4.0,5.0,0,1,0
744821,47,8,CH,5,0,3,2,2,6,0,4,0,3,2,1.0,4.0,4.0,0,1,0
744821,47,9,FF,0,1,3,2,2,6,0,4,0,3,2,5.0,1.0,4.0,0,1,0
744821,47,10,CH,5,0,3,2,2,6,0,4,0,3,2,0.0,5.0,1.0,0,1,0
744821,47,11,SI,1,0,3,2,2,6,0,4,0,3,2,5.0,0.0,5.0,0,1,0
744821,47,12,SI,1,0,3,2,2,6,0,4,0,3,2,1.0,5.0,0.0,0,1,0
744821,47,13,CH,5,0,3,2,2,6,0,4,0,3,2,1.0,1.0,5.0,0,1,0
744821,48,1,SI,1,0,0,0,2,6,0,4,0,3,2,5.0,1.0,1.0,0,1,0
744821,48,2,CH,5,0,0,1,2,6,0,4,0,3,2,1.0,5.0,1.0,0,1,0
744821,48,3,CH,5,0,1,1,2,6,0,4,0,3,2,5.0,1.0,5.0,0,1,0
744821,49,1,CH,5,0,0,0,2,6,1,4,1,3,2,5.0,5.0,1.0,0,1,0
745008,5,1,SI,1,0,0,0,0,1,0,0,0,1,0,5.0,5.0,5.0,1,1,0
745008,6,1,SI,1,0,0,0,1,1,0,0,0,1,0,1.0,5.0,5.0,0,1,0
745008,6,2,SI,1,0,1,0,1,1,0,0,0,1,0,1.0,1.0,5.0,0,1,0
745008,6,3,SI,1,0,1,1,1,1,0,0,0,1,0,1.0,1.0,1.0,0,1,0
745008,6,4,CH,5,0,1,2,1,1,0,0,0,1,0,1.0,1.0,1.0,0,1,0
745008,7,1,SI,1,0,0,0,2,1,0,0,0,1,0,5.0,1.0,1.0,0,1,0
745008,7,2,SI,1,0,0,1,2,1,0,0,0,1,0,1.0,5.0,1.0,0,1,0
745008,7,3,FF,0,1,0,2,2,1,0,0,0,1,0,1.0,1.0,5.0,0,1,0
745008,13,1,CH,5,0,0,0,0,2,0,1,0,1,0,0.0,1.0,1.0,1,1,0
745008,13,2,SI,1,0,0,1,0,2,0,1,0,1,0,5.0,0.0,1.0,1,1,0
745008,13,3,ST,4,0,0,2,0,2,0,1,0,1,0,1.0,5.0,0.0,1,1,0
745008,13,4,ST,4,0,1,2,0,2,0,1,0,1,0,4.0,1.0,5.0,1,1,0
745008,13,5,SI,1,0,2,2,0,2,0,1,0,1,0,4.0,4.0,1.0,1,1,0
745008,13,6,CH,5,0,3,2,0,2,0,1,0,1,0,1.0,4.0,4.0,1,1,0
745008,14,1,SI,1,0,0,0,1,2,0,1,0,1,0,5.0,1.0,4.0,0,1,0
745008,14,2,CH,5,0,0,1,1,2,0,1,0,1,0,1.0,5.0,1.0,0,1,0
745008,14,3,CH,5,0,1,1,1,2,0,1,0,1,0,5.0,1.0,5.0,0,1,0
745008,14,4,CH,5,0,1,2,1,2,0,1,0,1,0,5.0,5.0,1.0,0,1,0
745008,14,5,FF,0,1,1,2,1,2,0,1,0,1,0,5.0,5.0,5.0,0,1,0
745008,14,6,CH,5,0,2,2,1,2,0,1,0,1,0,0.0,5.0,5.0,0,1,0
745008,15,1,SI,1,0,0,0,2,2,0,1,0,1,0,5.0,0.0,5.0,1,1,0
745008,15,2,SI,1,0,0,1,2,2,0,1,0,1,0,1.0,5.0,0.0,1,1,0
745008,15,3,CH,5,0,0,2,2,2,0,1,0,1,0,1.0,1.0,5.0,1,1,0
745008,15,4,CH,5,0,1,2,2,2,0,1,0,1,0,5.0,1.0,1.0,1,1,0
745008,15,5,ST,4,0,2,2,2,2,0,1,0,1,0,5.0,5.0,1.0,1,1,0
745008,15,6,SI,1,0,3,2,2,2,0,1,0,1,0,4.0,5.0,5.0,1,1,0
745008,21,1,SI,1,0,0,0,0,3,0,1,0,1,0,1.0,4.0,5.0,0,1,0
745008,21,2,SI,1,0,0,1,0,3,0,1,0,1,0,1.0,1.0,4.0,0,1,0
745008,21,3,CH,5,0,1,1,0,3,0,1,0,1,0,1.0,1.0,1.0,0,1,0
745008,21,4,SI,1,0,2,1,0,3,0,1,0,1,0,5.0,1.0,1.0,0,1,0
745008,21,5,CH,5,0,2,2,0,3,0,1,0,1,0,1.0,5.0,1.0,0,1,0
745008,22,1,CH,5,0,0,0,1,3,0,1,0,1,0,5.0,1.0,5.0,1,1,0
745008,23,1,SI,1,0,0,0,1,3,0,1,0,1,0,5.0,5.0,1.0,0,1,0
745008,23,2,SI,1,0,0,1,1,3,0,1,0,1,0,1.0,5.0,5.0,0,1,0
745008,24,1,SI,1,0,0,0,2,3,0,1,0,2,1,1.0,1.0,5.0,1,1,0
745008,24,2,CH,5,0,0,1,2,3,0,1,0,2,1,1.0,1.0,1.0,1,1,0
745008,24,3,CH,5,0,0,2,2,3,0,1,0,2,1,5.0,1.0,1.0,1,1,0
745008,24,4,CH,5,0,1,2,2,3,0,1,0,2,1,5.0,5.0,1.0,1,1,0
745008,29,1,ST,4,0,0,0,0,4,0,2,0,2,1,5.0,5.0,5.0,0,1,0
745008,29,2,SI,1,0,0,1,0,4,0,2,0,2,1,4.0,5.0,5.0,0,1,0
745008,29,3,CH,5,0,0,2,0,4,0,2,0,2,1,1.0,4.0,5.0,0,1,0
745008,30,1,SI,1,0,0,0,1,4,0,2,0,2,1,5.0,1.0,4.0,0,1,0
745008,30,2,SI,1,0,1,0,1,4,0,2,0,2,1,1.0,5.0,1.0,0,1,0
745008,30,3,CH,5,0,2,0,1,4,0,2,0,2,1,1.0,1.0,5.0,0,1,0
745008,30,4,SI,1,0,2,1,1,4,0,2,0,2,1,5.0,1.0,1.0,0,1,0
745008,30,5,ST,4,0,2,2,1,4,0,2,0,2,1,1.0,5.0,1.0,0,1,0
745008,30,6,SI,1,0,3,2,1,4,0,2,0,2,1,4.0,1.0,5.0,0,1,0
745008,30,7,CH,5,0,3,2,1,4,0,2,0,2,1,1.0,4.0,1.0,0,1,0
745008,31,1,SI,1,0,0,0,2,4,0,2,0,2,1,5.0,1.0,4.0,1,1,0
745008,31,2,ST,4,0,0,1,2,4,0,2,0,2,1,1.0,5.0,1.0,1,1,0
745008,31,3,ST,4,0,1,1,2,4,0,2,0,2,1,4.0,1.0,5.0,1,1,0
745008,31,4,SI,1,0,1,2,2,4,0,2,0,2,1,4.0,4.0,1.0,1,1,0
745008,38,1,CH,5,0,0,0,0,5,0,2,0,2,1,1.0,4.0,4.0,0,1,0
745008,38,2,SI,1,0,1,0,0,5,0,2,0,2,1,5.0,1.0,4.0,0,1,0
745008,39,1,SI,1,0,0,0,0,5,0,2,0,2,1,1.0,5.0,1.0,1,1,0
