game_pk,at_bat_number,pitch_number,pitch_type,pitch_type_map,is_fastball,balls,strikes,outs_when_up,inning,home_score,away_score,bat_score,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,prev_pitch_1,prev_pitch_2,prev_pitch_3,batter_is_right,pitcher_is_right,inning_top
744845,28,5,SL,4,0,2,2,1,4,1,0,1,2,1,0.0,5.0,0.0,1,0,0
744845,29,1,FF,0,1,0,0,2,4,1,0,1,2,1,4.0,0.0,5.0,1,0,0
744845,29,2,CH,5,0,0,1,2,4,1,0,1,2,1,0.0,4.0,0.0,1,0,0
744845,29,3,SI,1,0,1,1,2,4,1,0,1,2,1,5.0,0.0,4.0,1,0,0
744845,29,4,FF,0,1,1,2,2,4,1,0,1,2,1,1.0,5.0,0.0,1,0,0
744845,29,5,SI,1,0,2,2,2,4,1,0,1,2,1,0.0,1.0,5.0,1,0,0
744845,30,1,FF,0,1,0,0,2,4,2,0,2,2,1,1.0,0.0,1.0,1,0,0
744845,35,1,SL,4,0,0,0,0,5,2,0,2,2,1,0.0,1.0,0.0,0,0,0
744845,35,2,SL,4,0,1,0,0,5,2,0,2,2,1,4.0,0.0,1.0,0,0,0
744845,35,3,SI,1,0,1,1,0,5,2,0,2,2,1,4.0,4.0,0.0,0,0,0
744845,35,4,SL,4,0,2,1,0,5,2,0,2,2,1,1.0,4.0,4.0,0,0,0
744845,35,5,FF,0,1,3,1,0,5,2,0,2,2,1,4.0,1.0,4.0,0,0,0
744845,36,1,FF,0,1,0,0,0,5,2,0,2,2,1,0.0,4.0,1.0,1,0,0
744845,36,2,FF,0,1,0,1,0,5,2,0,2,2,1,0.0,0.0,4.0,1,0,0
744845,36,3,SL,4,0,0,2,0,5,2,0,2,2,1,0.0,0.0,0.0,1,0,0
744845,37,1,FF,0,1,0,0,1,5,2,0,2,2,1,4.0,0.0,0.0,1,0,0
744845,38,1,FF,0,1,0,0,2,5,2,0,2,3,2,0.0,4.0,0.0,0,0,0
744845,38,2,FF,0,1,0,1,2,5,2,0,2,3,2,0.0,0.0,4.0,0,0,0
744845,38,3,SL,4,0,0,2,2,5,2,0,2,3,2,0.0,0.0,0.0,0,0,0
