balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitch_type_map,prop_CU,prop_FC,prop_FF,prop_SI,prop_CH,prop_SL,batter_is_right,pitcher_is_right,inning_top
0,2,2,7,55,3,0,5,0,3,2,0.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,0,0,0
0,1,2,7,55,2,0,5,0,3,2,5.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,0,0,0
0,0,2,7,55,1,0,5,0,3,2,0.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,0,0,0
3,2,2,7,54,6,0,5,0,3,2,5.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
2,2,2,7,54,5,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
2,1,2,7,54,4,0,5,0,3,2,0.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
1,1,2,7,54,3,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
1,0,2,7,54,2,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
0,0,2,7,54,1,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
2,2,2,7,53,5,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
2,1,2,7,53,4,0,5,0,3,2,4.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
1,1,2,7,53,3,0,5,0,3,2,0.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
1,0,2,7,53,2,0,5,0,3,2,4.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
0,0,2,7,53,1,0,5,0,3,2,0.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
0,2,1,7,52,3,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
0,1,1,7,52,2,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
0,0,1,7,52,1,0,5,0,3,2,2.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
0,2,0,7,51,4,0,5,0,3,2,5.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,0,0,0
0,2,0,7,51,3,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,0,0,0
0,1,0,7,51,2,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,0,0,0
0,0,0,7,51,1,0,5,0,3,2,4.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,0,0,0
3,2,2,6,47,6,0,5,0,3,2,5.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
3,1,2,6,47,5,0,5,0,3,2,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
3,0,2,6,47,4,0,5,0,3,2,0.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
2,0,2,6,47,3,0,5,0,3,2,0.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
1,0,2,6,47,2,0,5,0,3,2,5.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
0,0,2,6,47,1,0,5,0,3,2,5.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
1,2,0,6,46,4,0,5,0,2,1,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
1,1,0,6,46,3,0,5,0,2,1,3.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
1,0,0,6,46,2,0,5,0,2,1,2.0,0.27636363636363637,0.13090909090909092,0.2909090909090909,0.13090909090909092,0.16363636363636364,0.007272727272727273,1,0,0
